run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
144,1033,27,27,PAYMENT,0,0,0
144,1033,137,137,PAYMENT,0,0,0
144,1045,231,231,PAYMENT,0,0,0
144,1045,102,102,NEW_ORDER,0,0,0
144,1045,90,90,PAYMENT,0,0,0
144,1045,30,30,PAYMENT,0,0,0
144,1045,150,150,NEW_ORDER,0,0,0
144,1045,208,208,NEW_ORDER,0,0,0
144,1062,82,82,NEW_ORDER,0,0,0
144,1066,243,243,PAYMENT,0,0,0
144,1066,21,21,PAYMENT,0,0,0
144,1066,129,129,NEW_ORDER,0,0,0
144,1067,52,52,NEW_ORDER,0,0,0
144,1067,124,124,NEW_ORDER,0,0,0
144,1068,43,43,PAYMENT,0,0,0
144,1068,45,45,PAYMENT,0,0,0
144,1068,44,44,PAYMENT,0,0,0
144,1068,48,48,PAYMENT,0,0,0
144,1068,40,40,NEW_ORDER,0,0,0
144,1068,49,49,NEW_ORDER,0,0,0
144,1076,31,31,PAYMENT,0,0,0
144,1079,11,11,PAYMENT,0,0,0
144,1079,99,99,NEW_ORDER,0,0,0
144,1079,59,59,NEW_ORDER,0,0,0
144,1079,54,54,PAYMENT,0,0,0
144,1079,49,49,NEW_ORDER,0,0,0
144,1080,35,35,PAYMENT,0,0,0
144,1080,12,12,PAYMENT,0,0,0
144,1080,197,197,NEW_ORDER,0,0,0
144,1080,158,158,NEW_ORDER,0,0,0
144,1080,49,49,NEW_ORDER,0,0,0
144,1087,72,72,PAYMENT,0,0,0
144,1089,21,21,PAYMENT,0,0,0
144,1089,302,302,NEW_ORDER,0,0,0
144,1089,10,10,PAYMENT,0,0,0
144,1092,77,77,NEW_ORDER,0,0,0
144,1094,64,64,NEW_ORDER,0,0,0
144,1102,148,148,NEW_ORDER,0,0,0
144,1102,122,122,PAYMENT,0,0,0
144,1106,73,73,NEW_ORDER,0,0,0
144,1108,19,19,PAYMENT,0,0,0
144,1108,21,21,PAYMENT,0,0,0
144,1109,129,129,NEW_ORDER,0,0,0
144,1109,64,64,NEW_ORDER,1,0,0
144,1116,49,49,NEW_ORDER,0,0,0
144,1117,97,97,NEW_ORDER,0,0,0
144,1117,86,86,NEW_ORDER,0,0,0
144,1117,102,102,NEW_ORDER,0,0,0
144,1128,60,60,NEW_ORDER,0,0,0
144,1137,35,35,PAYMENT,0,0,0
144,1137,113,113,PAYMENT,0,0,0
144,1152,85,85,NEW_ORDER,0,0,0
144,1152,73,73,NEW_ORDER,0,0,0
144,1153,36,36,PAYMENT,0,0,0
144,1154,78,78,NEW_ORDER,0,0,0
144,1154,45,45,PAYMENT,0,0,0
144,1154,74,74,NEW_ORDER,0,0,0
144,1154,109,109,NEW_ORDER,0,0,0
144,1154,75,75,NEW_ORDER,0,0,0
144,1154,200,200,PAYMENT,0,0,0
144,1154,52,52,PAYMENT,0,0,0
144,1161,92,92,NEW_ORDER,0,0,0
144,1164,84,84,NEW_ORDER,0,0,0
144,1174,57,57,PAYMENT,0,0,0
144,1178,70,70,PAYMENT,0,0,0
144,1178,61,61,NEW_ORDER,0,0,0
144,1178,24,24,PAYMENT,0,0,0
144,1178,99,99,NEW_ORDER,0,0,0
144,1185,31,31,PAYMENT,0,0,0
144,1185,7,7,PAYMENT,0,0,0
144,1185,91,91,NEW_ORDER,0,0,0
144,1190,111,111,PAYMENT,0,0,0
144,1191,111,111,NEW_ORDER,0,0,0
144,1191,102,102,NEW_ORDER,0,0,0
144,1191,63,63,PAYMENT,0,0,0
144,1194,88,88,NEW_ORDER,0,0,0
144,1194,132,132,NEW_ORDER,0,0,0
144,1196,129,129,NEW_ORDER,0,0,0
144,1201,93,93,NEW_ORDER,0,0,0
144,1205,14,14,PAYMENT,0,0,0
144,1205,14,14,PAYMENT,0,0,0
144,1205,88,88,NEW_ORDER,0,0,0
